name,slug,value,date_of_information,ranking,region
"Tonga","tonga","$724,972,000","2022",211,"Australia and Oceania"
"American Samoa","american-samoa","$658,000,000","2016",212,"Australia and Oceania"
"British Virgin Islands","british-virgin-islands","$500,000,000","2017",213,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","$437,759,000","2023",214,"Australia and Oceania"
"Kiribati","kiribati","$423,549,000","2023",215,"Australia and Oceania"
"Palau","palau","$280,025,000","2023",216,"Australia and Oceania"
"Cook Islands","cook-islands","$266,000,000","2022",217,"Australia and Oceania"
"Marshall Islands","marshall-islands","$263,507,000","2023",218,"Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$261,300,000","2015",219,"North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$206,400,000","2015",220,"South America"
"Nauru","nauru","$147,996,000","2023",221,"Australia and Oceania"
"Tuvalu","tuvalu","$57,054,000","2023",222,"Australia and Oceania"
"Niue","niue","$18,700,000","2021",223,"Australia and Oceania"
"Tokelau","tokelau","$7,711,583","2017",224,"Australia and Oceania"
