name,slug,value,date_of_information,ranking,region
"Micronesia, Federated States of",micronesia-federated-states-of,432679000.0,2024,211,Australia and Oceania
Cook Islands,cook-islands,401155000.0,2024,212,Australia and Oceania
Anguilla,anguilla,362499000.0,2024,213,Central America and the Caribbean
Palau,palau,280025000.0,2023,214,Australia and Oceania
Marshall Islands,marshall-islands,270809000.0,2024,215,Australia and Oceania
Saint Pierre and Miquelon,saint-pierre-and-miquelon,261300000.0,2015,216,North America
Nauru,nauru,150581000.0,2024,217,Australia and Oceania
Montserrat,montserrat,89254000.0,2024,218,Central America and the Caribbean
Tuvalu,tuvalu,57055000.0,2023,219,Australia and Oceania
Niue,niue,18700000.0,2021,220,Australia and Oceania
Tokelau,tokelau,7711583.0,2017,221,Australia and Oceania
France,france,3732000000000.0,2024,9,Europe
